====================================================================================================
Run timestamp: 2026-03-31T12:17:58.808333
Lattice: openai-none
CLI command: python3 solo_async.py --lattice openai-none --num-pulls 30 --repeats 150 --max-concurrent-games 128 --threadpool-workers 128 --output-dir results/async_solo_50x30_extra
Working directory: /Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation
Log file: /Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra/openai-none/logs/20260331_121758_808333.log
Arguments:
  lattice=openai-none
  num_pulls=30
  repeats=150
  max_concurrent_games=128
  threadpool_workers=128
  output_dir=/Users/jaeholee0404/Documents/GitHub/Multi-Armed-Manipulation-Evaluation/results/async_solo_50x30_extra
  debug=True
  settings_file=lattice_async.settings.txt
Reasoning profile:
  openai_effort=none
  anthropic_effort=None
  anthropic_thinking_type=disabled
  gemini_effort=none
[settings] loaded 18 var(s) from lattice_async.settings.txt (skipped 0 already-set env var(s)).
[settings] effective values:
  ANTHROPIC_BACKOFF_BASE_SECONDS=1  (source=settings-file)
  ANTHROPIC_BACKOFF_JITTER=0.25  (source=settings-file)
  ANTHROPIC_BACKOFF_MAX_SECONDS=60  (source=settings-file)
  ANTHROPIC_MAX_IN_FLIGHT=2  (source=settings-file)
  ANTHROPIC_MAX_RETRIES=8  (source=settings-file)
  ANTHROPIC_MIN_INTERVAL_SECONDS=0.25  (source=settings-file)
  GEMINI_BACKOFF_BASE_SECONDS=1  (source=settings-file)
  GEMINI_BACKOFF_JITTER=0.25  (source=settings-file)
  GEMINI_BACKOFF_MAX_SECONDS=60  (source=settings-file)
  GEMINI_MAX_IN_FLIGHT=2  (source=settings-file)
  GEMINI_MAX_RETRIES=8  (source=settings-file)
  GEMINI_MIN_INTERVAL_SECONDS=0.20  (source=settings-file)
  OPENAI_BACKOFF_BASE_SECONDS=1  (source=settings-file)
  OPENAI_BACKOFF_JITTER=0.25  (source=settings-file)
  OPENAI_BACKOFF_MAX_SECONDS=60  (source=settings-file)
  OPENAI_MAX_IN_FLIGHT=128  (source=settings-file)
  OPENAI_MAX_RETRIES=8  (source=settings-file)
  OPENAI_MIN_INTERVAL_SECONDS=0.015  (source=settings-file)
====================================================================================================
[openai-none] starting: 4 models, 150 repeat(s), 30 pulls, max_concurrent_games=128, threadpool_workers=128
[openai-none] 1/600 gpt-4.1 (run 16) total=432.000 expected=432.000 time=38.09s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r016.log
[openai-none] 2/600 FAILED gpt-4o-mini (run 15): Error code: 400 - {'error': {'message': "We could not parse the JSON body of your request. (HINT: This likely means you aren't using your HTTP library correctly. The OpenAI API expects a JSON payload, but what was sent was not valid JSON. If you have trouble figuring out how to fix this, please contact us through our help center at help.openai.com.)", 'type': 'invalid_request_error', 'param': None, 'code': None}}
[openai-none] 3/600 gpt-4.1 (run 14) total=504.000 expected=472.000 time=48.98s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r014.log
[openai-none] 4/600 gpt-4.1 (run 10) total=536.000 expected=552.000 time=49.21s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r010.log
[openai-none] 5/600 gpt-5.4 (run 3) total=240.000 expected=240.000 time=50.78s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r003.log
[openai-none] 6/600 gpt-4.1 (run 18) total=620.000 expected=568.000 time=50.98s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r018.log
[openai-none] 7/600 gpt-4.1 (run 13) total=422.000 expected=460.000 time=51.55s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r013.log
[openai-none] 8/600 gpt-5.4 (run 17) total=240.000 expected=240.000 time=51.66s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r017.log
[openai-none] 9/600 gpt-4.1 (run 28) total=544.000 expected=544.000 time=52.40s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r028.log
[openai-none] 10/600 gpt-5.4 (run 23) total=240.000 expected=240.000 time=52.66s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r023.log
[openai-none] 11/600 gpt-4.1 (run 29) total=624.000 expected=576.000 time=52.70s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r029.log
[openai-none] 12/600 gpt-5.4 (run 7) total=240.000 expected=240.000 time=53.33s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r007.log
[openai-none] 13/600 gpt-4o-mini (run 8) total=224.000 expected=224.000 time=53.43s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-4o-mini_r008.log
[openai-none] 14/600 gpt-4.1 (run 31) total=454.000 expected=492.000 time=54.26s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-4.1_r031.log
[openai-none] 15/600 gpt-5.4 (run 10) total=536.000 expected=480.000 time=54.43s log=results/async_solo_50x30_extra/openai-none/game_logs/gpt-5.4_r010.log
